eventName,blockNumber,txHash,logIndex,validatorId,delegator,withdrawId,amountMON,activationEpoch
Undelegate,69007605,0x43f43aebe613e500708b4bdf07cd888e9c993ff5ce3f5df97b1eee3df720c5b1,2,154,0xb38080f2B5E7DCdf1182B91916B5f406f6457f91,5,100.0,1382
Undelegate,69054976,0x46364544ec259dd977ca4ec5c78de2d5a3e28866d45573a679ecae7f08ca2e5c,38,154,0x1B68626dCa36c7fE922fD2d55E4f631d962dE19c,55,2300.062498867135004648,1383
Undelegate,69104974,0xf027a8d3ccbb811a4e101cca394f4683116b69f8d0601a2f710e4b0fd82854d5,39,154,0x1B68626dCa36c7fE922fD2d55E4f631d962dE19c,56,26062.801746805031199261,1384
Undelegate,69154974,0x375f84cde3e5f98c5bd3cfd5e04046347c339e5c27957dd7c7a86bbbcac28d70,43,154,0x1B68626dCa36c7fE922fD2d55E4f631d962dE19c,57,45542.713843677901584839,1385
Undelegate,69204980,0x15a5236ec74ca460055a057d32256dbb68b0eea5d0ec737bf003f58a13071b38,42,154,0x1B68626dCa36c7fE922fD2d55E4f631d962dE19c,58,38341.089248082769232241,1386
Undelegate,69254980,0x1be1f5e24d8a511fad3ca1a001b8599b642254d01647b23a00634aad3d0ed673,38,154,0x1B68626dCa36c7fE922fD2d55E4f631d962dE19c,59,3432.281168628841679418,1387
Undelegate,69305002,0x3e0b36efea99229ef8912da77e8b5d93346b5f19b9fe96881aed747f2fb9822b,38,154,0x1B68626dCa36c7fE922fD2d55E4f631d962dE19c,60,15982.223011868466034314,1388
Undelegate,69355000,0x948426c31cdcd5e2dd1ec2f7be4bac315e1fe448000d56bec948a2ecca44cde8,38,154,0x1B68626dCa36c7fE922fD2d55E4f631d962dE19c,61,7201.929882949829403971,1389
Undelegate,69405000,0xd695cf1a7055035c28ace38d2fcd476144a096012a465b04914a35a87ce5d03d,50,154,0x1B68626dCa36c7fE922fD2d55E4f631d962dE19c,62,1100.854719887263604666,1390
Undelegate,69505002,0x0a5b3f49817cba6b2375013cab0e767279edc82cbe5638ce68ce225f2ed1051d,40,154,0x1B68626dCa36c7fE922fD2d55E4f631d962dE19c,63,19771.626566002272913266,1392
Undelegate,69555001,0xa801af3b36c6e1f9df4deea0545626956f1d1132d4216defc869e9ce9ff3b8ca,23,154,0x1B68626dCa36c7fE922fD2d55E4f631d962dE19c,64,5058.737503774444900809,1393
Undelegate,69605001,0x41645fb1054b7f34f1f988b77269cc1f3f9307f5c5f6bb7162b9c3da65583a8e,94,154,0x1B68626dCa36c7fE922fD2d55E4f631d962dE19c,65,15370.935223769747080439,1394
Undelegate,69655000,0x922f05a314302719e9fe79d28325e2495fd7daf736f23014a7030b9177667f3f,38,154,0x1B68626dCa36c7fE922fD2d55E4f631d962dE19c,66,1735.7994655491254841,1395
Undelegate,69755001,0x8d709b781afa1d0bbead838852441c33af904f091b794b273ee01667c8e582ad,40,154,0x1B68626dCa36c7fE922fD2d55E4f631d962dE19c,67,5321.78807801992938369,1397
Undelegate,69804999,0x7b8503f55e8bd5444bd14ea9bbeae891f5f3c99cc39148b4905a0235d8c9213e,27,154,0x1B68626dCa36c7fE922fD2d55E4f631d962dE19c,68,3240.212491000911982807,1398
