eventName,blockNumber,txHash,logIndex,validatorId,delegator,amountMON,activationEpoch
Delegate,67985825,0x3f9ec91b9dd47b191ab875d5ed173d818042e4c83bc949866b98e47a47ab1378,22,154,0x50920C6aca5E44E5B6948264d4D1B94a53eE608e,350.0,1361
Delegate,68005002,0xe02679b2fa6cb3870017b0c948e087ebeeb8514dbd6734f05f3cfaf7c04ab8bb,39,154,0x1B68626dCa36c7fE922fD2d55E4f631d962dE19c,1297.654911801499720589,1362
Delegate,68056628,0xb919ff5102d392f0ecb017b0495737826858ccd9fa489ad93bdb187858572dfa,76,154,0x0d4deAfd3A184B154132B6C18ee2d159e7A9FF6b,2.0,1363
Delegate,68062554,0x162e17619301d58c6853bff3885c1e0fe6e60319b3c958b79eac0d12030acc88,10,154,0x7284C43A849985cC59C777b16FC040bFB4fFe0E1,95331.580617,1363
Delegate,68086289,0xa4d02700c324a9d7b8d5557464bdf7649b5a3433d05c4c2a964cefde257fa5f8,8,154,0xEb0a0E981202428600C013897C7571C64107e92D,0.050929770218540243,1363
Delegate,68139930,0x0dbf70b8c93dd45e46b2e01e8944f68730c41c9a9831f9a6a591d3ca2d4ccc5c,5,154,0xd50fFcBaAd77d78a89789923F2Fa83B113e6C73E,47.0,1364
Delegate,68153735,0xfa17fcc4d7860dea7b1f1cf2a92e02e3c334e91dea13e1511f3729a936dd070f,79,154,0xbd2C5658e41e8937CCdb9b32dDCE95461E5eEd79,111.0,1365
Delegate,68153922,0xdecf1ded205cf1dbe7b2b315df775afb4183360e8b28c1aeaf74d09cc88e3e6c,26,154,0xbd2C5658e41e8937CCdb9b32dDCE95461E5eEd79,6.0,1365
Delegate,68173584,0xcf58b8262cc2c73ffb21fe8ea00395c0e8efc93265b89020b097b875ecbab23d,15,154,0x3496A0Da043108Ec81022ebEcced3D0cf821A58D,10001.0,1365
Delegate,68191220,0xcfab34f726b573177b69b03dd6f1381687cc9183adfc604ffc9abedb872002e9,1,154,0xC6DcE6ef5a5bF1A45e5d8adaa63C6eA46F65AC50,590.0,1365
Delegate,68191633,0x3bc60c57e040cf5bacc7a81eb9fb389617a47ed5118bf9da81ce587d00d3bf4b,1,154,0xf4E664BE6A7E1Ae48F2FeD9De6B0C7A70E71BD85,1118.0,1365
Delegate,68192055,0xa94dca93ca9052ed8e5b0b813d7004d726ecf3b68b094b1a488e8d2dfa53d8d4,3,154,0xd272F7A497a419E280EC509C78A44dC92299FB0d,830.0,1365
Delegate,68213187,0x7604ecae50788708b0862139edfb30911b26dbfa1f00f91331a41572be9ceadf,45,154,0x2598CD5553De991eB8E948e7400C02814f529c01,1800.849123907251536929,1366
Delegate,68246221,0x0b848769cd65e71e54b1968a9f654afa442a063701bd393aa928a5e92913c1b5,53,154,0xB4dff2c9b4DB343eD94FB9bf4788bCbD59D101B7,100000.0,1366
Delegate,68255001,0xcc33326af7b66f21a88a080c78c8b049d0271fe53f24a3596cc6b84b974492eb,43,154,0x1B68626dCa36c7fE922fD2d55E4f631d962dE19c,5138.254501123323300503,1367
