blockNumber,timeStamp,hash,from,to,valueWei,valueMON,type
67459162,1775929035,0x6975d2394d3867e547007ffe126abaf2f5bc2724f369d42ac5428580f974c618,0x200723a706de0013316e5cd8eba2b3f53dd90c29,0x40ea55e0b8f02f8ebc9d91e082e202ed988647fa,273642750000000000000000,273642.75,call
67459162,1775929035,0x6975d2394d3867e547007ffe126abaf2f5bc2724f369d42ac5428580f974c618,0x200723a706de0013316e5cd8eba2b3f53dd90c29,0xaafdfa4a935d8511bf285af11a0544ce7e4a1199,14402250000000000000000,14402.25,call
