paymentSource,blockNumber,timeStamp,hash,from,to,tokenSymbol,amountMON,hasNftTransfer,hasSecondaryNftTransfer,nftTransferCount,nftTokenIds,error
NATIVE_INTERNAL,72255586,1777849366,0x6f5229d5c7fc5999136555790f182c734f4d343fe15659b366fc74042105b466,0x3bd359c1119da7da1d913d1c4d2b7c461115433a,0x40ea55e0b8f02f8ebc9d91e082e202ed988647fa,MON,660.001,false,false,0,,
NATIVE_INTERNAL,72265320,1777853292,0x70cfbe0c3f3d65a965719b2fd69c49edeb6cb943d865d1955313a1996115046f,0x3bd359c1119da7da1d913d1c4d2b7c461115433a,0x40ea55e0b8f02f8ebc9d91e082e202ed988647fa,MON,280.0545,false,false,0,,
NATIVE_INTERNAL,72602191,1777988037,0x82ac87ab3c2fd82f560755ecbaa45e06ccdfbcdbad73438d0b9bd3ebbeb2fa92,0x3bd359c1119da7da1d913d1c4d2b7c461115433a,0x40ea55e0b8f02f8ebc9d91e082e202ed988647fa,MON,455.053,false,false,0,,
NATIVE_INTERNAL,72708292,1778030436,0x56532e7b4c79cbe99a34d5fdcde31f4b9a2fba6d506ca495dd4996d637e40233,0x3bd359c1119da7da1d913d1c4d2b7c461115433a,0x40ea55e0b8f02f8ebc9d91e082e202ed988647fa,MON,257.901,false,false,0,,
NATIVE_INTERNAL,72829437,1778078950,0x85bb3df766d0b65bffee446a4c864877ef08a6b17b312fc4495f95c097514bc5,0xf10ed040f182511ef2179adea749920881a4eef9,0x40ea55e0b8f02f8ebc9d91e082e202ed988647fa,MON,10000,false,false,0,,
NATIVE_INTERNAL,73472774,1778335810,0xa274087ccbba2db8e4a9d7444a5966f63235eb05eef67ae5ae6dbbc186fbc5d2,0x3bd359c1119da7da1d913d1c4d2b7c461115433a,0x40ea55e0b8f02f8ebc9d91e082e202ed988647fa,MON,270.5,false,false,0,,
NATIVE_INTERNAL,73705180,1778429003,0x09195a34fab7bbd1c2e611f835ffc39e0eed82cb8dc5f832f9f3f797db1e7394,0x3bd359c1119da7da1d913d1c4d2b7c461115433a,0x40ea55e0b8f02f8ebc9d91e082e202ed988647fa,MON,215.0135,false,false,0,,
NATIVE_INTERNAL,74653400,1778808798,0x469076261a98ead132a51c238bb3dd1ac06d8d21ae173f247e9a7aac43c2a2cd,0x3bd359c1119da7da1d913d1c4d2b7c461115433a,0x40ea55e0b8f02f8ebc9d91e082e202ed988647fa,MON,245.755,false,false,0,,
NATIVE_INTERNAL,75463046,1779133324,0x1d272e7512bb953d0e39ffe9e74b67eabb4a4d0f62f316289d7d153ebc33b065,0x3bd359c1119da7da1d913d1c4d2b7c461115433a,0x40ea55e0b8f02f8ebc9d91e082e202ed988647fa,MON,799.155,false,false,0,,
NATIVE_INTERNAL,75623502,1779198065,0x5a9b6f73dec8042929af6e7bb74da45a401c5d9228990b53dccfd3358542f879,0x3bd359c1119da7da1d913d1c4d2b7c461115433a,0x40ea55e0b8f02f8ebc9d91e082e202ed988647fa,MON,200.001,false,false,0,,
NATIVE_INTERNAL,77429486,1779919954,0x7c09761a6c1e061b918cadec0e2dafbafae67ded61c073b91f4829ac5532bb6a,0x3bd359c1119da7da1d913d1c4d2b7c461115433a,0x40ea55e0b8f02f8ebc9d91e082e202ed988647fa,MON,3559.772,false,false,0,,
NATIVE_INTERNAL,77680234,1780020216,0x40688581761f8ea77fc863336fb6c5a23bbff93da2c1b791e66a0313ecdc3df1,0x3bd359c1119da7da1d913d1c4d2b7c461115433a,0x40ea55e0b8f02f8ebc9d91e082e202ed988647fa,MON,1862.8505,false,false,0,,
