burn_number,token_id,tx_hash,block,from,to,burn_mechanism,evidence,community_proof_url,bot_report_url
1,257,0x6e8d254e9a44a310814c73cae0271237e8f46157df5c05df3264ba4644b18032,70952594,0x5b76dd6d1506658eb25652a61854ded918463c28,0x000000000000000000000000000000000000dead,transferred_to_dead_address,ERC721 Transfer to dead address,https://x.com/AlexxDumii/status/2048890619712467148?s=20,https://x.com/r3tardbot/status/2048889359558939060?s=20
2,296,0x465c8c18e0089db770bcdfe6e69603ae145eac4b62b82e900bbd6f4b7b35edc7,76697747,0xbcc24929108278944aa180ff8322b900356f7701,0x000000000000000000000000000000000000dead,transferred_to_dead_address,ERC721 Transfer to dead address,https://x.com/andalfthegreat/status/2058533141304799319?s=20,https://x.com/r3tardbot/status/2058532823800172774?s=20
